Country,Name,Breeder and Vendor,Parentage,Characteristics,Resistance,Susceptibility,Tolerant,PVP/Patent #,Market Class,Source,Direct harvest suitability,Yield,Maturity,Seed weight
USA,ND Palomino (SF 103-8),North Dakota State University & USDA,Santa Fe/PS08-103,"Medium maturity (102 days), 2a erect growth habit- indeterminate, guides (runners) short or not developed, adapted to direct harvest, 42 days to 50% bloom",Bean common mosaic virus (I),"common bacterial blight, rust (20-3), anthracnose (Race 73)",,201700085,Slow Darkening Pinto,"Journal of Plant Registrations 2018, 12(1): 15-20",,,,
USA,ND-307 (ND010307),NDSU Research Foundation,USPT-CBB-3/Matterhorn//Maverick,"Mid-season maturity, days to maturity-93, 3a growth habit-erect, indeterminate, runners short or not developed, days to flowering- 42 (50% bloom)","Rust (40-42, 52-57, 59-61, 68-70, Bean common mosaic virus, air pollution","white mold (all), Bean common mosaic necrosis virus, anthracnose (Race 73)",,200900009,Pinto,"Journal of Plant Registrations 2020, 4(2): 109-114",,,,
USA,Orion (99124),"ProVita, Kelley Bean Co",Beryl/Matterhorn,"Medium maturity (90 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 44 days to 50% bloom",Bean common mosaic virus (all non-necrotic races),,,200400176,Great Northern,,,,,
USA,Panhandle Pride,"University of Nebraska-Lincoln, Farmers Bean LLC",ABC-Weihing///G95023/Weihing//BelMiNeb-RMR-11),"2b growth habit-upright indeterminate, Mid Season maturity (85-89), days to maturity-87, days to flowering-44 (50% bloom)","Bean Common Rust (41, 44,",,,Pending,Great Northern,"Journal of Plant Registrations 2019, 13(3): 311-315",,,,
USA,Patron (DBY60-1),Oregon State University,Peruano 87/3//Peruano 87/Cardinal,"Medium maturity (100 days), 1a bush- determinant, strong and erect stem and branches, adapted to direct harvest, 42 days to 50% bloom","Bean common mosaic virus (BV1, NL4, Mexican, NY15, NL8, Western, NL2, Florida, Type, NL3, Idaho, I gene), curly top virus",rust,,201700233,"Yellow, Peruano, & Mayocoba",,,,,
USA,Pilgrim (PVD 865),Wilbur-Ellis Co,(Taylor Cranberry x DB 610248) x DB 610525 x^2 Taylor Cranberry,"Early maturity (86 days), 1a bush-determinate, strong and erect stem, and branches, 35-37 days to 50% bloom","Fusarium root rot, Pythium wilt, Bean common mosaic virus (BV1, BV2 & NY15), bean yellow mosaic virus, curly top, leafhopper, two-spotted mites, heat, drought","rust, halo blight, aphids, lygus, pod borer, air pollution",,8300037,Cranberry,,,,,
USA,Pinata (ISB 82-354),Idaho Seed Bean Co,Red Mexican UI 36/Pinto UI 114,"3a growth habit-vine-indeterminate, short guides with no ability to climb, early maturity (80-90), days to maturity-88, days to flowering-42 (50% bloom)","curly top virus, Bean common mosaic virus (NL 1&8)",,,900171,Pinto,,,,,
USA,Powderhorn (G08254),Michigan State University,G04514/Matterhorn,"Upright growth habit, days to maturity-95, medium maturity (90-100), days to flowering-42 (50% bloom)",Bean common mosaic virus (All strains),"anthracnose (Races 7 & 73), Bean common mosaic necrosis virus (All strains), common bacterial blight (Michigan Isolate), rust (Michigan isolate 22-2)",white mold (Michigan isolates),201500385,Great Northern,"Journal of Plant Registrations 2014, 8(1): 1-4",,,,
USA,Prize (GTS 0686),"Gen-Tec Seeds, Limited","C15 (Laker)/KW ""Are""","late maturity (106 days), 1a bush-determinate, strong and erect stem, and branches, adapted to direct harvest, 44 days to 50% bloom","Bean common mosaic virus (1, 15), anthracnose (Alpha, Beta, Gamma, Delta)","bacterial blight (common & fuscans), white mold",,9200186,Navy,,,,,
USA,Radiant (12324-1),"ProVita, ADM Edible Bean Specialties, Inc",Sinaloa/SDP 1533,"Early maturity (83 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 53 days to 50% bloom",,,,201600322,Slow Darkening Pinto,,,,,
